X,longitude,latitude,lek_id,date,date_prev,date_curr,nnd_to_prev
142,74.4362963125269,27.799774262368,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.358808515008624
143,74.4362153361018,27.7998837804492,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.047136697809978
144,74.4366058310906,27.7998169710486,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.798584539569633
145,74.4365310889183,27.7999011781182,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,6.966279877652238
146,74.4357234210001,27.8006939238896,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.6222697298101276
147,74.4359915494446,27.8005441560459,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.958883287499844
148,74.4360608516486,27.8002715588645,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.2755738814563498
149,74.4360836958018,27.8004394122752,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.530101092140742
150,74.4359896952121,27.8001301863247,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.288241413512428
151,74.4361511402526,27.8001233131827,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,11.859853740393332
152,74.4359809135019,27.7999861105754,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.1274343748192872
153,74.4361283121194,27.7998780451034,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,11.228160376484263
154,74.4361772842901,27.7997051078947,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.0848536679988707
155,74.4360501437134,27.7998040797666,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.8745974733189482
156,74.4359993530333,27.799577101531,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.9915233159871093
157,74.43587282728,27.7997541524895,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.4482449239052117
158,74.4358261238826,27.799541536645,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.4268142550407856
159,74.435747631566,27.7996536557848,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.9296204739913865
160,74.4357494868463,27.7994209547338,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.539318556285805
161,74.4359557046383,27.7994188843171,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.568438460459767
162,74.4358409443002,27.7997233993861,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.640062593897423
163,74.435874329778,27.7998918392884,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.5990476768761877
164,74.4358933754945,27.8000896494415,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.810009148751639
165,74.4358849161352,27.8003831170904,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.12134022931049815
166,74.4358535181577,27.8005700081581,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,7.388072663682561
167,74.4356383641772,27.800503985261,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.0339850436785647
168,74.4354836600294,27.8007468726122,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,20.036798813227314
169,74.4357378488561,27.8003838105075,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.2462897193199576
170,74.4357469322509,27.8002113448932,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.4558679445709046
171,74.4356992218523,27.8000702518743,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.19917796202365182
172,74.435362717125,27.8003849685507,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.5170293799197004
173,74.4356911732733,27.7999004289996,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.5482477165091324
174,74.4355557477243,27.7996611313889,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.3877240775009776
175,74.4356013433424,27.7994540817448,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.5449344688912996
176,74.4354810626061,27.7999198207114,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.9887500079602887
177,74.4354689853796,27.8000952596116,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.7671518984508126
178,74.4354876111031,27.8002571905843,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.4835191333186373
179,74.4353132860242,27.8001833431733,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.04652918187314
180,74.4351149220169,27.8000113067433,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.7011599571718481
181,74.4351962993723,27.7997600004115,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.916165524271338
182,74.4352623704507,27.7995929444268,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,9.281300512705787
183,74.4353995118541,27.7993070255336,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.5501243317547613
184,74.4351474642401,27.7994319903921,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.8040607086312543
190,74.4348616762374,27.7998182371346,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.6359571482652986
191,74.434766092023,27.7996069544925,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.3582018871017685
192,74.4349729833015,27.79947125018,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,17.685768762967694
0,74.4375563277909,27.7997640169674,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.518977564355084
1,74.4375722667149,27.8001348915484,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.0336972514708807
2,74.4376601683361,27.7999394822912,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.3795932142209058
3,74.4374169767589,27.7998995262621,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,9.931030840548173
4,74.437455967359,27.8000028699468,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.2433639832055148
5,74.4373892552213,27.8002085387854,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.7326190846772396
6,74.4372987000026,27.7998299248986,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.742142814606553
7,74.4372706963283,27.8000327558498,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.5983469702310176
8,74.4371426587825,27.8000077791681,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.7662588908010142
9,74.4374576471735,27.7996041696182,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.4500200127984195
10,74.4373627052454,27.7997400694726,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,11.111961656165088
11,74.4372915550968,27.8003125908696,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.4757767742329992
12,74.437186546454,27.8005778364317,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.0145818161393285
13,74.4370313221257,27.8004876590937,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,12.085614670092754
14,74.4370445367535,27.8003546575399,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.389280887739413
15,74.4368853836616,27.8004019973673,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.4160333213008
16,74.4370236296074,27.8001303913082,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.492769832840285
17,74.4371921121713,27.7998061599811,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,8.498772190913858
18,74.436891081418,27.8002262564932,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.6368007989642337
19,74.4376576571227,27.7993785284265,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.894316338476859
20,74.4374338870499,27.7994811424561,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.5039555761978474
21,74.437283901872,27.799621004787902,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.5857677931724625
22,74.4372833002084,27.7993987892941,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.1008381519639436
23,74.437123468417,27.7994250149886,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.9051685416088944
24,74.4370990706205,27.799666862578,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,9.314866619928228
25,74.4374240431892,27.799206394666,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.8199841066167171
26,74.437237108583,27.7991547951285,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.2561745871224337
27,74.4374379812395,27.7990167960555,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,13.095912380898456
28,74.4373296491734,27.7987661359459,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,9.228130314505972
29,74.4368601451183,27.7988652363051,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,7.835479291898354
30,74.4370276481977,27.7991216779367,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.8328658203851083
31,74.4370600910781,27.7993040216499,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.763827513744941
32,74.4368735374475,27.7992156038341,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.3348481868080533
33,74.4369690964402,27.7996802707343,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,7.164873605226989
34,74.437019615722,27.7998526415574,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.3300048753204803
35,74.4368856821373,27.8000703011243,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,5.080550751769263
36,74.4368790171371,27.7998954538096,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.5323922371589634
37,74.4367720096395,27.7997864518369,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,8.387942475882847
38,74.4369959292986,27.7995301928711,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,4.65945568108808
39,74.4371883786181,27.7995583680426,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.6640181832696705
40,74.4367807074719,27.8002579632177,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,7.311775116130063
41,74.4366643976198,27.8004075571849,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,4.354036726350562
42,74.4366647517603,27.8005528537186,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,9.70994259281411
43,74.4367468317893,27.8007429784991,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.5611053228575309
44,74.4365307225591,27.800721924148,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,5.103305710484394
45,74.4364599323805,27.8008558325639,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,11.743869770500737
46,74.4363395542408,27.8008476260165,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.3756106198240907
47,74.4364378864471,27.8005013639321,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,4.176978080352348
48,74.4364381374272,27.8006473445666,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,8.417014558210647
49,74.4361926289233,27.8006813243146,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.501630968643081
50,74.4365846594795,27.8002734220551,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,12.103855296925548
51,74.4365224442568,27.8001823639848,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,9.281272839690441
52,74.4367588999549,27.7999576758532,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,7.500474972803754
53,74.4365681368179,27.8000064033974,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,6.404324695878891
54,74.4366364959845,27.7998727806354,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,6.8808737064400605
55,74.4365245003685,27.799826805942,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,5.94147741447124
56,74.4366044009036,27.7997361566971,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,8.953408453964318
57,74.4367247799116,27.7995824309236,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,10.137175490266152
58,74.4367922987519,27.7994328351946,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.0814125488234887
59,74.4366479663251,27.7992106405834,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,5.016128888456243
60,74.4361900034598,27.8004257701581,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.850052885431559
61,74.4364064276421,27.8003546763475,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,8.126302278934235
62,74.4363133359113,27.8002388065629,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,6.602815847469543
63,74.4363457769758,27.8000124403583,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.7419859802284168
64,74.4362077617781,27.8000453654973,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.7162786205022638
65,74.4362399566031,27.799901903344,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.1484075621849135
66,74.4364124269014,27.7998833669277,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,7.302064942319756
67,74.4363044018654,27.7997954178262,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,2.4752917973031576
68,74.436402747705,27.7996568186886,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.4410978298105688
69,74.4365061888111,27.7995372150389,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,12.12454940917384
70,74.4362599045246,27.7994904996828,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.2252085135908093
71,74.4361878641399,27.7997086204617,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.1124632109023822
72,74.4362572891805,27.7993499583434,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,4.052624493490387
73,74.4364583225271,27.7991674797023,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,7.576887472952515
74,74.4363601132683,27.7990083147103,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,0.9233232690560496
75,74.4366590105904,27.7988195429236,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,10.672967667596797
76,74.4365874608768,27.798633583053,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,4.384340526357882
78,74.4364775073,27.7989276909427,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,14.457909000545417
82,74.4363079207408,27.7987683507333,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,5.559314395205218
84,74.4360274174162,27.7988189112774,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,6.929406340178053
90,74.4358317866533,27.7988863668851,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,17.145304024163384
91,74.4360634420785,27.7990550732112,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,10.626071259869407
95,74.4355373413919,27.7990734290935,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,1.1959699559310604
96,74.4356674326858,27.7989644292639,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,17.047186269544653
97,74.435631870523,27.799168940414,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,4.858523204327233
98,74.4358707151183,27.7990891805725,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,3.2968179572970717
99,74.4357935644914,27.7993113888853,Tal Chhapar,2015-11-01,2014-02-01,2015-11-01,12.890556570825078
